French,English
aussi,also
avoir,to have
vraiment,really
voir,see
même,even
sa,her
oh,oh
maintenant,now
tous,all
peut,can
deux,two
ces,these
êtes,are
allez,go on
ta,your
autre,other
peu,little
temps,time
quelque,some
fais,do 
toujours,always
encore,again
notre,our
mes,my
besoin,need
avait,had
accord,agreement
faut,must
dois,have to
vie,life
peut-être,maybe
aller,go
fois,times
vu,seen
donc,so
sans,without
monde,world
étais,was
parce,because
avant,before
sûr,on
trop,too much
quelqu',someone
parler,talk
personne,person
avais,had
père,father
crois,believe
après,after
aux,to
dieu,god
ouais,yeah
ses,his
pense,think
eu,had
aime,love
leur,their
homme,man
viens,come
vrai,true
femme,women
ok,ok
doit,must
veut,wanna
ans,years
m.,mr.
mal,wrong
chez,at the house of
déj�,already
depuis,since
beaucoup,a lot
vos,your
bonne,good
mort,dead
mieux,better
vas,go
mère,mother
sera,will be
dis,say
fille,girl
tes,your 
gens,people
quel,what
vois,see 
désolé,sorry
ca,that
voil�,there you go
avons,have
petit,little
maison,house
soit,either
cela,that
autres,others
toute,all
soir,evening
passé,pass
prendre,take
jour,day
monsieur,sir
nos,our
savoir,know